23,"To proceed with the loan disbursal process, please sign your documents digitally. Please authorize the transaction to deduct stamp duty charges to proceed with the e-signing process.","To proceed with the loan disbursal process, please sign your documents digitally. Please authorize the transaction to deduct Stamp Duty charges to proceed with the e-Signing process.","ऋण वितरण प्रक्रिया को आगे बढ़ाने के लिए, कृपया अपने दस्तावेज़ों पर डिजिटल रूप से हस्ताक्षर करें। कृपया ई-हस्ताक्षर प्रक्रिया को आगे बढ़ाने के लिए स्टांप शुल्क में कटौती करने के लिए लेनदेन को अधिकृत करें।","ऋण  वाटप प्रक्रियेसह पुढे जाण्यासाठी, कृपया तुमच्या कागदपत्रांवर डिजिटल स्वाक्षरी करा. कृपया ई-स्वाक्षरी प्रक्रियेसह पुढे जाण्यासाठी मुद्रांक शुल्क कापण्यासाठी व्यवहारास अधिकृत करा.","ലോൺ വിതരണ പ്രക്രിയയുമായി മുന്നോട്ട് പോകാൻ, നിങ്ങളുടെ രേഖകളിൽ ഡിജിറ്റലായി ഒപ്പിടുക. ഇ-സിഗ്നേച്ചർ പ്രക്രിയയുമായി മുന്നോട്ട് പോകുന്നതിന് സ്റ്റാമ്പ് ഡ്യൂട്ടി കുറയ്ക്കുന്നതിന് ഇടപാടിന് അംഗീകാരം നൽകുക.","கடன் வழங்கல் செயல்முறையைத் தொடர, உங்கள் ஆவணங்களில் டிஜிட்டல் கையொப்பமிடுங்கள். மின் கையொப்பச் செயல்முறையைத் தொடர முத்திரைக் கட்டணத்தைக் கழிக்க பரிவர்த்தனையை அங்கீகரிக்கவும்.",قرض کی تقسیم کے عمل کو آگے بڑھانے کے لیے، براہ کرم اپنے دستاویزات پر ڈیجیٹل طور پر دستخط کریں۔ براہ کرم ای-دستخط کے عمل کو آگے بڑھانے کے لیے اسٹامپ ڈیوٹی کی کٹوتی کے لیے لین دین کی اجازت دیں۔,"ঋণ বিতরণ প্রক্রিয়ার সাথে এগিয়ে যেতে, অনুগ্রহ করে ডিজিটালভাবে আপনার নথিতে স্বাক্ষর করুন। ই-স্বাক্ষর প্রক্রিয়ার সাথে এগিয়ে যাওয়ার জন্য স্ট্যাম্প শুল্ক কেটে নেওয়ার জন্য অনুগ্রহ করে লেনদেনের অনুমোদন দিন।",ঋণ প্ৰদান প্ৰক্ৰিয়া আগবঢ়াই নিবলৈ অনুগ্ৰহ কৰি আপোনাৰ নথিপত্ৰত ডিজিটেলভাৱে স্বাক্ষৰ কৰক। ই-চহী প্ৰক্ৰিয়াটো আগবঢ়াই নিবলৈ অনুগ্ৰহ কৰি লেনদেনক ষ্টাম্প ড্যুটিৰ চাৰ্জ কৰ্তন কৰিবলৈ অনুমোদন দিয়ক।,"લોન વિતરણ પ્રક્રિયા સાથે આગળ વધવા માટે, કૃપા કરીને તમારા દસ્તાવેજો પર ડિજિટલી સહી કરો. કૃપા કરીને ઇ-સિગ્નેચર પ્રક્રિયા સાથે આગળ વધવા માટે સ્ટેમ્પ ડ્યુટી કાપવા માટે વ્યવહારને અધિકૃત કરો.",لون کی ادائیگی کے عمل کو آگے بڑھانے کے لیے، برائے مہربانی اپنی دستاویزات پر ڈیجیٹل طور پر دستخط کریں۔ برائے مہربانی اسٹیمپ ڈیوٹی چارجز کی کٹوتی کے لیے لین دین کو مجاز کریں تاکہ ای-سائننگ کے عمل کو آگے بڑھایا جا سکے۔,"ಲೋನ್ ವಿತರಣಾ ಪ್ರಕ್ರಿಯೆಯನ್ನು ಮುಂದುವರಿಸಲು, ದಯವಿಟ್ಟು ನಿಮ್ಮ ಡಾಕ್ಯುಮೆಂಟ್‌ಗಳಿಗೆ ಡಿಜಿಟಲ್ ಸಹಿ ಮಾಡಿ. ಇ-ಸಹಿ ಪ್ರಕ್ರಿಯೆಯೊಂದಿಗೆ ಮುಂದುವರಿಯಲು ಸ್ಟಾಂಪ್ ಸುಂಕವನ್ನು ಕಡಿತಗೊಳಿಸಲು ವಹಿವಾಟಿಗೆ ಅಧಿಕಾರ ನೀಡಿ.","ଋଣ ବିତରଣ ପ୍ରକ୍ରିୟା ସହିତ ଅଗ୍ରଗତି କରିବାକୁ, ଦୟାକରି ଡିଜିଟାଲ୍ ଭାବରେ ଆପଣଙ୍କର ଡକ୍ୟୁମେଣ୍ଟ୍ ସାଇନ୍ କରନ୍ତୁ | ଇ-ଦସ୍ତଖତ ପ୍ରକ୍ରିୟା ସହିତ ଅଗ୍ରଗତି କରିବାକୁ ଷ୍ଟାମ୍ପ ଡ୍ୟୁଟି କାଟିବାକୁ ଦୟାକରି କାରବାରକୁ ଅନୁମତି ଦିଅନ୍ତୁ |","Ban iaid shakhmat bad ka jingpynmih ram, sngewbha soi ia ki kot ki sla jong phi da ka digital. Sngewbha ai bor ia ka jingpyniaid ban ot ia ka bai Stamp Duty ban iaid shakhmat bad ka kam e-Signing.","ਕਰਜ਼ਾ ਵੰਡਣ ਦੀ ਪ੍ਰਕਿਰਿਆ ਨੂੰ ਅੱਗੇ ਵਧਾਉਣ ਲਈ, ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਦਸਤਾਵੇਜ਼ਾਂ 'ਤੇ ਡਿਜ਼ੀਟਲ ਦਸਤਖਤ ਕਰੋ। ਕਿਰਪਾ ਕਰਕੇ ਈ-ਦਸਤਖਤ ਪ੍ਰਕਿਰਿਆ ਨਾਲ ਅੱਗੇ ਵਧਣ ਲਈ ਸਟੈਂਪ ਡਿਊਟੀ ਕੱਟਣ ਲਈ ਟ੍ਰਾਂਜੈਕਸ਼ਨ ਨੂੰ ਅਧਿਕਾਰਤ ਕਰੋ।","లోన్ పంపిణీ ప్రక్రియను కొనసాగించడానికి, దయచేసి మీ పత్రాలపై డిజిటల్ సంతకం చేయండి. దయచేసి ఇ-సంతకం ప్రక్రియను కొనసాగించడానికి స్టాంప్ డ్యూటీని తీసివేయడానికి లావాదేవీకి అధికారం ఇవ్వండి.",रीण दिवपाची प्रक्रिया फुडें व्हरपा खातीर उपकार करून तुमच्या कागदपत्रांचेर डिजिटल स्वाक्षरी करात. उपकार करून ई-स्वाक्षरी प्रक्रिया फुडें व्हरपा खातीर मुद्रांक शुल्क काडपाक वेव्हाराक अधिकृत करात.
24,Final Sanction,Final Sanction,अंतिम मंजूरी,अंतिम मान्यता,അന്തിമ അംഗീകാരം,இறுதி ஒப்புதல்,حتمی منظوری,চূড়ান্ত অনুমোদন,চূড়ান্ত অনুমোদন,અંતિમ મંજૂરી,فائنل منظوری,ಅಂತಿಮ ಅನುಮೋದನೆ,ଅନ୍ତିମ ଅନୁମୋଦନ |,Ka jingmynjur kaba khatduh,ਅੰਤਮ ਪ੍ਰਵਾਨਗੀ,తుది ఆమోదం,निमाणी मान्यताय दिवप
,,,,,,,,,,,,,,,,,
Sheet10,,,,,,,,,,,,,,,,,
Sl No,Field Name,English,Hindi,Marathi,Malayalam,Tamil,Urdu,Bengali,Assamese,Gujarati,Kashmiri,Kannada,,KhaSI,Punjabi,Telegu,Konkani
1,Recovery of Stamp Duty charges,Recovery of Stamp Duty charges,स्टाम्प शुल्क की वसूली,मुद्रांक शुल्काची वसुली,സ്റ്റാമ്പ് ഡ്യൂട്ടി വീണ്ടെടുക്കൽ,முத்திரை கட்டணத்தை திரும்பப் பெறுதல்,سٹیمپ ڈیوٹی کی وصولی,স্ট্যাম্প ডিউটি ​​পুনরুদ্ধার,ষ্টাম্প ড্যুটিৰ চাৰ্জ আদায়,સ્ટેમ્પ ડ્યુટીની વસૂલાત,اسٹیمپ ڈیوٹی چارجز کی وصولی,ಸ್ಟ್ಯಾಂಪ್ ಸುಂಕದ ಮರುಪಡೆಯುವಿಕೆ,ଷ୍ଟାମ୍ପ ଡ୍ୟୁଟିର ପୁନରୁଦ୍ଧାର,Ka jingpynphai biang ia ka bai Stamp Duty .,ਸਟੈਂਪ ਡਿਊਟੀ ਦੀ ਰਿਕਵਰੀ,స్టాంప్ డ్యూటీ రికవరీ,मुद्रांक शुल्क वसूल करप
2,"To proceed with the loan disbursal process, please sign your documents digitally. Please authorize the transaction to deduct stamp duty charges to proceed with the e-signing process.","To proceed with the loan disbursal process, please sign your documents digitally. Please authorize the transaction to deduct Stamp Duty charges to proceed with the e-Signing process.","ऋण वितरण प्रक्रिया को आगे बढ़ाने के लिए, कृपया अपने दस्तावेज़ों पर डिजिटल रूप से हस्ताक्षर करें। कृपया ई-हस्ताक्षर प्रक्रिया को आगे बढ़ाने के लिए स्टांप शुल्क में कटौती करने के लिए लेनदेन को अधिकृत करें।","ऋण  वाटप प्रक्रियेसह पुढे जाण्यासाठी, कृपया तुमच्या कागदपत्रांवर डिजिटल स्वाक्षरी करा. कृपया ई-स्वाक्षरी प्रक्रियेसह पुढे जाण्यासाठी मुद्रांक शुल्क कापण्यासाठी व्यवहारास अधिकृत करा.","ലോൺ വിതരണ പ്രക്രിയയുമായി മുന്നോട്ട് പോകാൻ, നിങ്ങളുടെ രേഖകളിൽ ഡിജിറ്റലായി ഒപ്പിടുക. ഇ-സിഗ്നേച്ചർ പ്രക്രിയയുമായി മുന്നോട്ട് പോകുന്നതിന് സ്റ്റാമ്പ് ഡ്യൂട്ടി കുറയ്ക്കുന്നതിന് ഇടപാടിന് അംഗീകാരം നൽകുക.","கடன் வழங்கல் செயல்முறையைத் தொடர, உங்கள் ஆவணங்களில் டிஜிட்டல் கையொப்பமிடுங்கள். மின் கையொப்பச் செயல்முறையைத் தொடர முத்திரைக் கட்டணத்தைக் கழிக்க பரிவர்த்தனையை அங்கீகரிக்கவும்.",قرض کی تقسیم کے عمل کو آگے بڑھانے کے لیے، براہ کرم اپنے دستاویزات پر ڈیجیٹل طور پر دستخط کریں۔ براہ کرم ای-دستخط کے عمل کو آگے بڑھانے کے لیے اسٹامپ ڈیوٹی کی کٹوتی کے لیے لین دین کی اجازت دیں۔,"ঋণ বিতরণ প্রক্রিয়ার সাথে এগিয়ে যেতে, অনুগ্রহ করে ডিজিটালভাবে আপনার নথিতে স্বাক্ষর করুন। ই-স্বাক্ষর প্রক্রিয়ার সাথে এগিয়ে যাওয়ার জন্য স্ট্যাম্প শুল্ক কেটে নেওয়ার জন্য অনুগ্রহ করে লেনদেনের অনুমোদন দিন।",ঋণ প্ৰদান প্ৰক্ৰিয়া আগবঢ়াই নিবলৈ অনুগ্ৰহ কৰি আপোনাৰ নথিপত্ৰত ডিজিটেলভাৱে স্বাক্ষৰ কৰক। ই-চহী প্ৰক্ৰিয়াটো আগবঢ়াই নিবলৈ অনুগ্ৰহ কৰি লেনদেনক ষ্টাম্প ড্যুটিৰ চাৰ্জ কৰ্তন কৰিবলৈ অনুমোদন দিয়ক।,"લોન વિતરણ પ્રક્રિયા સાથે આગળ વધવા માટે, કૃપા કરીને તમારા દસ્તાવેજો પર ડિજિટલી સહી કરો. કૃપા કરીને ઇ-સિગ્નેચર પ્રક્રિયા સાથે આગળ વધવા માટે સ્ટેમ્પ ડ્યુટી કાપવા માટે વ્યવહારને અધિકૃત કરો.",لون کی ادائیگی کے عمل کو آگے بڑھانے کے لیے، برائے مہربانی اپنی دستاویزات پر ڈیجیٹل طور پر دستخط کریں۔ برائے مہربانی اسٹیمپ ڈیوٹی چارجز کی کٹوتی کے لیے لین دین کو مجاز کریں تاکہ ای-سائننگ کے عمل کو آگے بڑھایا جا سکے۔,"ಲೋನ್ ವಿತರಣಾ ಪ್ರಕ್ರಿಯೆಯನ್ನು ಮುಂದುವರಿಸಲು, ದಯವಿಟ್ಟು ನಿಮ್ಮ ಡಾಕ್ಯುಮೆಂಟ್‌ಗಳಿಗೆ ಡಿಜಿಟಲ್ ಸಹಿ ಮಾಡಿ. ಇ-ಸಹಿ ಪ್ರಕ್ರಿಯೆಯೊಂದಿಗೆ ಮುಂದುವರಿಯಲು ಸ್ಟಾಂಪ್ ಸುಂಕವನ್ನು ಕಡಿತಗೊಳಿಸಲು ವಹಿವಾಟಿಗೆ ಅಧಿಕಾರ ನೀಡಿ.","ଋଣ ବିତରଣ ପ୍ରକ୍ରିୟା ସହିତ ଅଗ୍ରଗତି କରିବାକୁ, ଦୟାକରି ଡିଜିଟାଲ୍ ଭାବରେ ଆପଣଙ୍କର ଡକ୍ୟୁମେଣ୍ଟ୍ ସାଇନ୍ କରନ୍ତୁ | ଇ-ଦସ୍ତଖତ ପ୍ରକ୍ରିୟା ସହିତ ଅଗ୍ରଗତି କରିବାକୁ ଷ୍ଟାମ୍ପ ଡ୍ୟୁଟି କାଟିବାକୁ ଦୟାକରି କାରବାରକୁ ଅନୁମତି ଦିଅନ୍ତୁ |","Ban iaid shakhmat bad ka jingpynmih ram, sngewbha soi ia ki kot ki sla jong phi da ka digital. Sngewbha ai bor ia ka jingpyniaid ban ot ia ka bai Stamp Duty ban iaid shakhmat bad ka kam e-Signing.","ਕਰਜ਼ਾ ਵੰਡਣ ਦੀ ਪ੍ਰਕਿਰਿਆ ਨੂੰ ਅੱਗੇ ਵਧਾਉਣ ਲਈ, ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਦਸਤਾਵੇਜ਼ਾਂ 'ਤੇ ਡਿਜ਼ੀਟਲ ਦਸਤਖਤ ਕਰੋ। ਕਿਰਪਾ ਕਰਕੇ ਈ-ਦਸਤਖਤ ਪ੍ਰਕਿਰਿਆ ਨਾਲ ਅੱਗੇ ਵਧਣ ਲਈ ਸਟੈਂਪ ਡਿਊਟੀ ਕੱਟਣ ਲਈ ਟ੍ਰਾਂਜੈਕਸ਼ਨ ਨੂੰ ਅਧਿਕਾਰਤ ਕਰੋ।","లోన్ పంపిణీ ప్రక్రియను కొనసాగించడానికి, దయచేసి మీ పత్రాలపై డిజిటల్ సంతకం చేయండి. దయచేసి ఇ-సంతకం ప్రక్రియను కొనసాగించడానికి స్టాంప్ డ్యూటీని తీసివేయడానికి లావాదేవీకి అధికారం ఇవ్వండి.",रीण दिवपाची प्रक्रिया फुडें व्हरपा खातीर उपकार करून तुमच्या कागदपत्रांचेर डिजिटल स्वाक्षरी करात. उपकार करून ई-स्वाक्षरी प्रक्रिया फुडें व्हरपा खातीर मुद्रांक शुल्क काडपाक वेव्हाराक अधिकृत करात.
3,Final Sanction,Final Sanction,अंतिम मंजूरी,अंतिम मान्यता,അന്തിമ അംഗീകാരം,இறுதி ஒப்புதல்,حتمی منظوری,চূড়ান্ত অনুমোদন,চূড়ান্ত অনুমোদন,અંતિમ મંજૂરી,فائنل منظوری,ಅಂತಿಮ ಅನುಮೋದನೆ,ଅନ୍ତିମ ଅନୁମୋଦନ |,Ka jingmynjur kaba khatduh,ਅੰਤਮ ਪ੍ਰਵਾਨਗੀ,తుది ఆమోదం,निमाणी मान्यताय दिवप
4,Stamp Duty,Stamp Duty,स्टाम्प शुल्क,मुद्रांक शुल्क,സ്റ്റാമ്പ് ഡ്യൂട്ടി,முத்திரை கட்டணம்,سٹیمپ ڈیوٹی,স্ট্যাম্প ডিউটি,ষ্টাম্প ড্যুটি,સ્ટેમ્પ ડ્યુટી,اسٹیمپ ڈیوٹی,ಮುದ್ರಾಂಕ ಶುಲ್ಕ,ଷ୍ଟାମ୍ପ ଡ୍ୟୁଟି,Ka khajna stamp,ਸਟੈਂਪ ਡਿਊਟੀ,స్టాంపు డ్యూటీ,मुद्रांक शुल्क
5,Current Account,Current Account,चालू खाता,चालू खाते,കറൻ്റ് അക്കൗണ്ട്,நடப்புக் கணக்கு,کرنٹ اکاؤنٹ,বর্তমান অ্যাকাউন্ট,বৰ্তমানৰ একাউণ্ট,ચાલુ ખાતું,کرنٹ اکاؤنٹ,ಪ್ರಸ್ತುತ ಖಾತೆ,ସାମ୍ପ୍ରତିକ ଖାତା,Ka jingkhein ba mynta,ਮੌਜੂਦਾ ਖਾਤਾ,ప్రస్తుత ఖాతా,चालू खातें
